Celula,Área (px²),Perímetro (px),Diámetro (px),Radio (px),Centroide X,Centroide Y
1,16286.016316209487,452.3893421169302,144,72,319,645
2,15836.768566746146,446.10615680975064,142,71,644,393
3,15836.768566746146,446.10615680975064,142,71,241,262
4,16286.016316209487,452.3893421169302,144,72,1135,755
