Celula,Radio (µm),Diámetro (µm),Perímetro (µm),Área (µm²),Centroide X (µm),Centroide Y (µm),Área (px²),Perímetro (px),Diámetro (px),Radio (px),Centroide X (px),Centroide Y (px)
1,7.964114584583487,15.928229169166974,50.04000774254962,199.26217773755502,35.285452117807395,71.3451931535604,16286.016316209487,452.3893421169302,144,72,319,645
2,7.8535018820198275,15.707003764039655,49.34500763501421,193.76555516493343,71.23458045099675,43.4707921075182,15836.768566746146,446.10615680975064,142,71,644,393
3,7.8535018820198275,15.707003764039655,49.34500763501421,193.76555516493343,26.65766131784195,28.9805280716788,15836.768566746146,446.10615680975064,142,71,241,262
4,7.964114584583487,15.928229169166974,50.04000774254962,199.26217773755502,125.54541740975358,83.51259043556296,16286.016316209487,452.3893421169302,144,72,1135,755
